Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  3.051871e+02   2.173119e-04   9.972669e-04 
  3.065871e+02   2.173117e-04   9.972660e-04 
  3.068871e+02   3.382125e-04   9.958030e-04 
  3.073871e+02   3.382124e-04   9.958027e-04 
  3.076871e+02   2.579505e-04   9.988221e-04 
  3.076871e+02   2.579505e-04   9.988221e-04 
  3.076871e+02   2.579880e-04   9.988221e-04 
  3.076871e+02   2.579880e-04   9.987362e-04 
  3.082620e+02   2.579879e-04   9.987359e-04 
  3.082620e+02   2.579879e-04   9.987359e-04 
  3.088370e+02   2.579879e-04   9.987358e-04 
  3.091370e+02   2.111502e-04   9.959956e-04 
  3.091370e+02   2.111502e-04   9.959956e-04 
  3.091370e+02   2.111355e-04   9.959956e-04 
  3.091370e+02   2.111355e-04   9.958465e-04 
  3.096370e+02   2.111355e-04   9.958463e-04 
  3.099370e+02   4.080070e-04   9.962824e-04 
  3.113370e+02   4.080069e-04   9.962821e-04 
  3.116370e+02   3.700774e-04   1.013646e-03 
  3.116370e+02   3.700774e-04   1.013646e-03 
  3.116370e+02   3.700271e-04   1.013646e-03 
  3.116370e+02   3.700271e-04   1.013857e-03 
  3.124370e+02   3.700270e-04   1.013857e-03 
  3.151641e+02   3.716021e-04   1.198365e-05 
  3.155891e+02   3.716017e-04   1.198364e-05 
  3.157391e+02   3.734401e-04   1.197143e-05 
  3.157391e+02   3.734401e-04   1.197143e-05 
  3.157391e+02   3.734401e-04   1.197143e-05 
  3.157391e+02   3.734401e-04   1.197143e-05 
  3.162391e+02   3.734398e-04   1.197142e-05 
  3.162391e+02   3.734398e-04   1.197142e-05 
  3.174641e+02   3.734395e-04   1.197141e-05 
  3.174641e+02   3.734395e-04   1.197141e-05 
  3.174641e+02   3.734395e-04   1.197141e-05 
  3.177641e+02   3.734395e-04   1.197141e-05 
  3.178641e+02   3.734395e-04   1.197140e-05 
  3.185221e+02   1.852588e-04   1.197175e-05 
  3.186061e+02   1.852588e-04   1.197175e-05 
  3.192641e+02   2.749085e-05   1.197175e-05 
  3.192641e+02   2.749085e-05   1.197175e-05 
